,Region_name,Importace
16,FS_Mask_Vol,1.0
25,FS_L_Cerebellum_Cort_Vol,0.37806478
34,FS_L_Amygdala_Vol,0.24025042
311,FS_CC_Posterior_Max,0.19567168
561,FS_L_Insula_GrayVol,0.18828994
191,FS_CC_MidAnterior_Mean,0.17171963
173,FS_WM_Hypointens_Mean,0.15314242
804,FS_L_Entorhinal_FoldInd,0.13861747
152,FS_R_ThalamusProper_Std,0.12503716
445,FS_R_Pericalcarine_Area,0.123229936
595,FS_R_Insula_GrayVol,0.122275434
122,FS_L_Pallidum_Std,0.119275
151,FS_R_ThalamusProper_Mean,0.119149454
353,FS_L_Supramarginal_Thck,0.11375484
334,FS_L_Lateralorbitofrontal_Thck,0.11243192
60,FS_OpticChiasm_Vol,0.112221725
897,FS_L_Supramarginal_CurvInd,0.11174205
189,FS_CC_Central_Mean,0.1116293
49,FS_R_Amygdala_Vol,0.109786265
686,FS_L_Precentral_MeanCurv,0.10953611
185,FS_CC_Posterior_Mean,0.10935837
84,FS_R_InfLatVent_Vox,0.10877054
166,FS_R_VentDC_Std,0.10394102
28,FS_L_Putamen_Vol,0.10309177
498,FS_R_Entorhinal_NumVert,0.10263181
765,FS_L_Insula_GausCurv,0.102005176
30,FS_3rdVent_Vol,0.10019792
411,FS_L_Pericalcarine_Area,0.0992441
729,FS_R_Temporalpole_MeanCurv,0.09923902
150,FS_L_Cerebellum_Cort_Std.1,0.098016106
43,FS_L_Cerebellum_Cort_Vol.1,0.09716694
546,FS_L_Parstriangularis_GrayVol,0.09562741
463,FS_L_Cuneus_NumVert,0.091546595
160,FS_R_Hippo_Std,0.09153101
553,FS_L_Rostralmiddlefrontal_GrayVol,0.09089286
391,FS_R_Insula_Thck,0.088956065
610,FS_L_Parahippocampal_ThckStd,0.08836043
803,FS_L_Cuneus_FoldInd,0.08832541
774,FS_R_Isthmuscingulate_GausCurv,0.087212294
511,FS_R_Parsorbitalis_NumVert,0.08577577
310,FS_CC_Posterior_Min,0.08562544
128,FS_BrainStem_Std,0.08420931
868,FS_L_Bankssts_CurvInd,0.08224302
649,FS_R_Pericalcarine_ThckStd,0.081878245
888,FS_L_Postcentral_CurvInd,0.08090363
133,FS_CSF_Mean,0.08073904
401,FS_L_Lateraloccipital_Area,0.08071788
127,FS_BrainStem_Mean,0.07983964
186,FS_CC_Posterior_Std,0.07928703
187,FS_CC_MidPosterior_Mean,0.07926257
605,FS_L_Lateraloccipital_ThckStd,0.07866479
